PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409091,31,4,4,2,94.109405,2.388121,104.305834,100.498671,96.497526,1,1991,.Spr,1991.Spr,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409092,31,4,4,3,3.328259,75.279645,94.109405,88.999264,78.607904,2,1991,.Sum,1991.Sum,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409093,31,4,4,4,22.098853,0,33.755623,29.634061,22.098853,3,1991,.Fall,1991.Fall,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409095,31,4,5,2,8.777001,1.213598,10.822436,10.634126,9.990599,1,1991,.Spr,1991.Spr,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409096,31,4,5,3,0,8.548799,8.777001,8.548799,8.548799,2,1991,.Sum,1991.Sum,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409097,31,4,5,4,-2.68933,0,3.328259,3.129894,-2.68933,3,1991,.Fall,1991.Fall,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409099,31,5,2,2,653.938189,0,720.033368,661.278645,653.938189,1,1991,.Spr,1991.Spr,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409100,31,5,2,3,556.969958,6.346321,653.938189,575.531,563.316279,2,1991,.Sum,1991.Sum,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409101,31,5,2,4,689.572461,0,999.66305,742.049882,689.572461,3,1991,.Fall,1991.Fall,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409103,31,5,3,2,368.571893,2.535031,437.762325,412.503439,371.106925,1,1991,.Spr,1991.Spr,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409104,31,5,3,3,100.078576,51.117162,368.571893,337.132711,151.195738,2,1991,.Sum,1991.Sum,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409105,31,5,3,4,381.114404,0,556.969958,452.371,381.114404,3,1991,.Fall,1991.Fall,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409106,31,5,4,4,65.518619,0,100.078576,87.858982,65.518619,3,1991,.Fall,1991.Fall,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409108,31,5,5,2,0.260513,0.036021,0.321225,0.315635,0.296535,1,1991,.Spr,1991.Spr,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409109,31,5,5,3,0,0.25374,0.260513,0.25374,0.25374,2,1991,.Sum,1991.Sum,CHINOOK,5,1,9,U-NK Sp Hat,UnMarked Nooksack Spr Hatchery
3409111,31,7,2,2,9770.180376,0,10662.64687,9792.574888,9770.180376,1,1991,.Spr,1991.Spr,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409112,31,7,2,3,8096.733025,286.627082,9770.180376,8598.735748,8383.360108,2,1991,.Sum,1991.Sum,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409113,31,7,2,4,10539.37168,0,14476.52356,10745.92344,10539.37168,3,1991,.Fall,1991.Fall,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
3409115,31,7,3,2,6080.277366,2.639986,6633.202784,6250.466984,6082.917352,1,1991,.Spr,1991.Spr,CHINOOK,5,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing
